C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train1.py 
===== 训练配置 =====
设备: cuda
数据集: poemtext
批次大小: 64, 上下文长度: 256
模型层数: 6, 嵌入维度: 384
训练总步数: 5000
编译模式: False (已强制关闭)
====================
每次迭代token数: 16,384
从零初始化唐诗生成模型...
number of parameters: 29.94M
num decayed parameter tensors: 26, with 30,031,872 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
跳过模型编译（避免Triton依赖）...
开始训练唐诗生成模型...
E:\python\大模型应用开发\实验二\nanoGPT-master\model.py:64: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  y = torch.nn.functional.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=self.dropout if self.training else 0, is_causal=True)
步骤 0: 训练损失 10.9415, 验证损失 10.9442
迭代 0: 损失 10.9311, 耗时 141086.66ms
迭代 10: 损失 9.7211, 耗时 2067.22ms, MFU 0.47%
迭代 20: 损失 8.5175, 耗时 2069.23ms, MFU 0.47%
迭代 30: 损失 6.7049, 耗时 2040.85ms, MFU 0.47%
迭代 40: 损失 4.8391, 耗时 2060.25ms, MFU 0.47%
迭代 50: 损失 4.1374, 耗时 2062.47ms, MFU 0.48%
迭代 60: 损失 3.7501, 耗时 2064.08ms, MFU 0.48%
迭代 70: 损失 3.5906, 耗时 2034.76ms, MFU 0.48%
迭代 80: 损失 3.4999, 耗时 2028.84ms, MFU 0.48%
迭代 90: 损失 3.3982, 耗时 2043.03ms, MFU 0.48%
 迭代 100: 损失 3.3113, 耗时 2045.46ms, MFU 0.48%
迭代 110: 损失 3.2544, 耗时 2036.27ms, MFU 0.48%
迭代 120: 损失 3.2346, 耗时 2022.76ms, MFU 0.48%
迭代 130: 损失 3.2028, 耗时 2027.12ms, MFU 0.48%
迭代 140: 损失 3.1743, 耗时 2049.16ms, MFU 0.48%
迭代 150: 损失 3.0916, 耗时 2050.09ms, MFU 0.48%
迭代 160: 损失 3.1316, 耗时 2034.59ms, MFU 0.48%
迭代 170: 损失 2.9943, 耗时 2035.05ms, MFU 0.48%
迭代 180: 损失 2.9163, 耗时 2057.57ms, MFU 0.48%
迭代 190: 损失 2.8001, 耗时 2025.27ms, MFU 0.48%
迭代 200: 损失 2.8321, 耗时 2017.94ms, MFU 0.48%
迭代 210: 损失 2.7284, 耗时 2040.53ms, MFU 0.48%
迭代 220: 损失 2.6152, 耗时 2051.19ms, MFU 0.48%
迭代 230: 损失 2.5973, 耗时 2117.31ms, MFU 0.48%
迭代 240: 损失 2.5328, 耗时 2021.60ms, MFU 0.48%
步骤 250: 训练损失 2.3034, 验证损失 3.1319
保存模型到 out-poemtext-char/ckpt.pt
迭代 250: 损失 2.4364, 耗时 282686.90ms, MFU 0.43%
迭代 260: 损失 2.3501, 耗时 864.11ms, MFU 0.50%
迭代 270: 损失 2.3801, 耗时 2159.60ms, MFU 0.50%
迭代 280: 损失 2.2328, 耗时 2138.95ms, MFU 0.49%
迭代 290: 损失 2.1863, 耗时 2157.69ms, MFU 0.49%
迭代 300: 损失 2.1103, 耗时 2130.96ms, MFU 0.49%
迭代 310: 损失 2.0435, 耗时 2121.07ms, MFU 0.48%
迭代 320: 损失 1.8715, 耗时 2132.86ms, MFU 0.48%
迭代 330: 损失 1.8131, 耗时 2088.25ms, MFU 0.48%
迭代 340: 损失 1.7281, 耗时 2113.27ms, MFU 0.48%
迭代 350: 损失 1.6231, 耗时 2126.38ms, MFU 0.48%
迭代 360: 损失 1.6076, 耗时 2040.55ms, MFU 0.48%
迭代 370: 损失 1.4650, 耗时 2081.57ms, MFU 0.48%
迭代 380: 损失 1.2563, 耗时 2023.78ms, MFU 0.48%
迭代 390: 损失 1.2436, 耗时 2082.31ms, MFU 0.48%
迭代 400: 损失 1.0936, 耗时 2121.33ms, MFU 0.48%
迭代 410: 损失 1.0157, 耗时 2144.77ms, MFU 0.47%
迭代 420: 损失 0.9682, 耗时 2053.97ms, MFU 0.47%
迭代 430: 损失 0.8875, 耗时 2140.72ms, MFU 0.47%
迭代 440: 损失 0.7659, 耗时 2165.89ms, MFU 0.47%
迭代 450: 损失 0.7566, 耗时 2118.22ms, MFU 0.47%
迭代 460: 损失 0.7103, 耗时 2146.67ms, MFU 0.47%
迭代 470: 损失 0.6448, 耗时 2136.30ms, MFU 0.47%
迭代 480: 损失 0.6671, 耗时 2072.93ms, MFU 0.47%
迭代 490: 损失 0.6179, 耗时 2042.25ms, MFU 0.47%
步骤 500: 训练损失 0.1855, 验证损失 4.8512
迭代 500: 损失 0.5332, 耗时 282186.94ms, MFU 0.42%
迭代 510: 损失 0.5139, 耗时 1994.52ms, MFU 0.43%
