C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train2.py 
初始化 GPU 模型 | 配置：n_layer=6, n_head=8, n_embd=256
number of parameters: 17.60M
num decayed parameter tensors: 26, with 17,629,184 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True

开始 GPU 训练 | 数据集：tianlong | 总迭代数：5000 | 批次大小：16
================================================================================

【验证】迭代 0 | 验证损失：10.8904 | 当前学习率：0.0000e+00
【保存】模型已保存至 out-tianlong-char\ckpt.pt
【训练】迭代 0 | 训练损失：10.8909 | 耗时：2740.45ms
【训练】迭代 1 | 训练损失：10.8840 | 耗时：20.45ms
【训练】迭代 2 | 训练损失：10.8543 | 耗时：42.59ms
【训练】迭代 3 | 训练损失：10.7744 | 耗时：33.51ms
【训练】迭代 4 | 训练损失：10.6703 | 耗时：38.25ms
【训练】迭代 5 | 训练损失：10.5705 | 耗时：38.63ms | GPU 利用率：1.83%
【训练】迭代 6 | 训练损失：10.4515 | 耗时：40.64ms | GPU 利用率：1.83%
【训练】迭代 7 | 训练损失：10.3631 | 耗时：37.00ms | GPU 利用率：1.83%
【训练】迭代 8 | 训练损失：10.2816 | 耗时：38.16ms | GPU 利用率：1.84%
【训练】迭代 9 | 训练损失：10.2219 | 耗时：38.08ms | GPU 利用率：1.84%
【训练】迭代 10 | 训练损失：10.1237 | 耗时：36.93ms | GPU 利用率：1.85%
【训练】迭代 11 | 训练损失：10.0755 | 耗时：38.08ms | GPU 利用率：1.85%
【训练】迭代 12 | 训练损失：10.0189 | 耗时：36.87ms | GPU 利用率：1.86%
【训练】迭代 13 | 训练损失：9.9031 | 耗时：37.90ms | GPU 利用率：1.86%
【训练】迭代 14 | 训练损失：9.8388 | 耗时：36.00ms | GPU 利用率：1.87%
【训练】迭代 15 | 训练损失：9.7517 | 耗时：38.26ms | GPU 利用率：1.87%
【训练】迭代 16 | 训练损失：9.7347 | 耗时：37.00ms | GPU 利用率：1.87%
【训练】迭代 17 | 训练损失：9.6179 | 耗时：37.58ms | GPU 利用率：1.87%
【训练】迭代 18 | 训练损失：9.5307 | 耗时：37.43ms | GPU 利用率：1.88%
【训练】迭代 19 | 训练损失：9.4779 | 耗时：35.69ms | GPU 利用率：1.89%
【训练】迭代 20 | 训练损失：9.3327 | 耗时：36.77ms | GPU 利用率：1.89%
【训练】迭代 21 | 训练损失：9.2706 | 耗时：37.86ms | GPU 利用率：1.89%
【训练】迭代 22 | 训练损失：9.1780 | 耗时：36.20ms | GPU 利用率：1.90%
【训练】迭代 23 | 训练损失：9.0793 | 耗时：37.18ms | GPU 利用率：1.90%
【训练】迭代 24 | 训练损失：9.0100 | 耗时：38.44ms | GPU 利用率：1.89%
【训练】迭代 25 | 训练损失：8.8323 | 耗时：37.11ms | GPU 利用率：1.89%
【训练】迭代 26 | 训练损失：8.7783 | 耗时：35.85ms | GPU 利用率：1.90%
【训练】迭代 27 | 训练损失：8.6175 | 耗时：36.92ms | GPU 利用率：1.90%
【训练】迭代 28 | 训练损失：8.5212 | 耗时：36.86ms | GPU 利用率：1.91%
