C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train.py 
tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
E:\python\大模型应用开发\实验二\nanoGPT-master\model.py:64: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  y = torch.nn.functional.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=self.dropout if self.training else 0, is_causal=True)
step 0: train loss 4.2873, val loss 4.2824
iter 0: loss 4.2629, time 3762.73ms, mfu -100.00%
iter 10: loss 3.1865, time 31.49ms, mfu 2.96%
iter 20: loss 2.8285, time 31.00ms, mfu 2.96%
iter 30: loss 2.6435, time 31.60ms, mfu 2.96%
iter 40: loss 2.6393, time 30.95ms, mfu 2.97%
iter 50: loss 2.5946, time 30.66ms, mfu 2.97%
iter 60: loss 2.5103, time 32.21ms, mfu 2.97%
iter 70: loss 2.5479, time 26.94ms, mfu 3.01%
iter 80: loss 2.5554, time 22.02ms, mfu 3.14%
iter 90: loss 2.5308, time 31.49ms, mfu 3.12%
iter 100: loss 2.4870, time 28.00ms, mfu 3.14%
iter 110: loss 2.5159, time 32.24ms, mfu 3.11%
iter 120: loss 2.5176, time 28.16ms, mfu 3.13%
iter 130: loss 2.4824, time 30.40ms, mfu 3.13%
iter 140: loss 2.5026, time 32.78ms, mfu 3.10%
iter 150: loss 2.5000, time 32.64ms, mfu 3.07%
iter 160: loss 2.5370, time 30.69ms, mfu 3.07%
iter 170: loss 2.4767, time 26.85ms, mfu 3.11%
iter 180: loss 2.5042, time 17.52ms, mfu 3.33%
iter 190: loss 2.4474, time 16.00ms, mfu 3.58%
iter 200: loss 2.4667, time 19.57ms, mfu 3.70%
iter 210: loss 2.4878, time 17.32ms, mfu 3.87%
iter 220: loss 2.4588, time 17.00ms, mfu 4.03%
iter 230: loss 2.4066, time 16.49ms, mfu 4.19%
iter 240: loss 2.4399, time 22.22ms, mfu 4.19%
step 250: train loss 2.4198, val loss 2.4502
saving checkpoint to out-shakespeare-char
iter 250: loss 2.4093, time 3314.02ms, mfu 3.77%
iter 260: loss 2.4424, time 18.93ms, mfu 3.89%
iter 270: loss 2.4259, time 30.15ms, mfu 3.81%
iter 280: loss 2.4310, time 33.68ms, mfu 3.70%
iter 290: loss 2.4101, time 28.82ms, mfu 3.66%
iter 300: loss 2.4020, time 15.81ms, mfu 3.88%
iter 310: loss 2.3662, time 32.50ms, mfu 3.78%
